text_en,text_ky
"Once when I was six years old, I saw a picture",Алты жашымда бир жолу мен сүрөт көргөм
It was a picture of a boa constrictor swallowing an animal.,Бул боа жыланынын жаныбарды жутуп жаткан сүрөтү болчу
Here is a copy of the drawing.,Бул жерде сүрөт тартуунун көчүрмөсү.
"In the book it said, ""Boa constrictors swallow their prey whole.""","Китепте ""Боа жыланы өзүн жуткан жаныбарды бүтүндөй жутат"" деп жазылган"
I like to read books in the evening.,Кечинде китеп окугуну жакшы көрөм.
We went to the park to play football.,Биз футбол ойногону паркка бардык.
The sun is shining brightly today.,Бүгүн күн жарык болуп жатат.
He went to the store to buy some bread.,Ал дүкөнгө нан алганы барды.
She loves traveling to new countries.,Ал жаңы өлкөлөргө саякаттоону жакшы көрөт.
Can you help me with my homework?,Мага үй тапшырмамды бүтүрүүгө жардам бере аласыңбы?
The weather is very cold today.,Бүгүн аба ырайы абдан суук.
I will call you when I arrive.,Мен келгенде сага телефон чалам.
We watched a movie yesterday.,Биз кечээ кино көрдүк.
He is reading a book about nature.,Ал табият тууралуу китеп окуп жатат.

Вот текст, отсортированный и заключённый в кавычки:  

(book1)
Hide-and-Seek,Көздөн жылт этме (же "Жашынмак").
A simple game of hide-and-seek leads the children into the adventure of their lives.,Жөнөкөй жашынмак оюну балдарды өмүрүндөгү эң чоң кызыктуу окуяга жетелейт.
An exciting story that will have little readers turning.,"Кичинекей окурмандарды барактарды буруп, кызыгуу менен окууга түрткөн укмуштуудай окуя."
"James, his sister Sally, and Mark, their BFF (Best Friend Forever) were bored.","Жеймс, анын карындашы Салли жана алардын эң жакын досу Марк зеригип жатышты."
"They had played all day but now that it was dark and difficult to see, they had nothing to do.","Алар бүт күндү оюн менен өткөрүшкөн, бирок эми караңгы түшүп, эч нерсе көрүнбөй калгандыктан, кылчу иштери жок эле."
They couldn't play soccer because they couldn't see the ball.,"Алар футбол ойной алышкан жок, анткени топ көрүнбөй жатты."
"They didn't want to go inside and play a game because it was a beautiful springtime night and they liked being outside, especially after having to play inside all winter long","Алар үйгө кирип оюн ойногулары келген жок, анткени бул кооз жазгы түн эле, жана алар сыртта болгону жакшы көрүшчү, айрыкча кыш бою үйдө ойноого аргасыз болгондон кийин."
"They just didn’t know what to do and it was a little too early for them to go home.","Алар эмне кыларын билишкен жок, анан үйгө кайтууга дагы бир аз эрте болчу."
"I guess I’ll just go home, Mark said in a sad voice.","Менимче, үйгө эле барам окшойт, – деди Марк муңдуу үн менен."
"Aww come on, replied James.","Ой, койчу эми, – деп жооп берди Жеймс."
"We still have time for another game of – of something.","Бизде дагы бир оюн ойноого убакыт бар – эмнени болсо да."
"Then Sally said, I have an idea! Let’s play Hide-and Seek.","Андан кийин Салли: «Менде идея бар! Келгиле, жыйырма тогуз ойнойлу», – деди."
"I was just going to say that, James said.","Мен да дал ошону айтмак болчумун, – деди Жеймс."
"Yah, I’ll bet, replied his sister.","Ооба, ишенем, – деп жооп берди анын эжеси."
"You always say you were thinking of whatever I think of, she snapped.","Сен ар дайым мен ойлогон нерсени сен да ойлоп жаткам деп айтасың, – деп кагып койду ал."
"Do not! James said in a loud voice.","Андай эмес!» – деп катуу үн менен айтты Жеймс."
"Do too, yelled Sally.","Андайсың!» – деп кыйкырды Салли."
"Mark just looked down at the ground and shook his head from side to side.","Марк жерди тиктеп, башын жай гана ары-бери чайкады."
"They are at it again, he mumbled to himself.","Марк жерди тиктеп, башын жай гана ары-бери чайкады."
"Then he yelled, Okay, let’s play Hide-and-Seek I’ll be the seeker!","Андан кийин ал кыйкырды: Макул, жыйырма тогуз ойнойбуз, мен издөөчү болом!"
"He turned, faced a big tree, closed his eyes, and started counting out loud.","Анан чоң даракка бурулуп, көздөрүн жуумп, үн чыгарып санай баштады."
"100 – 99 – 98 – 97 ….. Sally and Mark stopped arguing, looked at each other, and ran off in different directions to find a hiding place.","100 – 99 – 98 – 97... Салли менен Жеймс талашып-тартышууну токтотуп, бири-бирин карап, ар кайсы тарапка жашыныш үчүн чуркап кетишти."
"In the distance they could still hear Mark counting 4 – 3 – 2 – 1.","Алыстан дагы эле Марктын: 4 – 3 – 2 – 1."
"Ready or not, here I come! Then he turned and began looking for places where they could be hiding.","Даярсыңбы же жокпу, мен келдим! – деп санап жаткан үнү угулуп турду."
"She always ran off and then circled back so she would be close to base, the safe place to get to before being tagged.","Анан ал бурулуп, алар жашынып калышы мүмкүн болгон жерлерди издей баштады."
"Mark looked for the biggest tree and ran towards it.","Марк эң чоң даракты карап, ага карай чуркады."
But she wasn’t there.,Бирок ал ошол жерде жок эле.
"Finding Sally was easy., But she wasn’t there.
"I’ll bet she’s behind that big bush, he said to himself.","Менимче, ал чоң бадалдын артында болушу мүмкүн, – деп ойлоду ал."
"So he ran to it and was ready to tag her, but she wasn’t there either.","Ошентип, ал ошол жерге чуркап барды жана аны тагууга даярданды, бирок ал жерде да жок болчу."
"As he turned around, he saw James running towards base and darted after him.","Марк бурулуп, Жеймстин базага чуркап бара жатканын көрүп, анын артынан чуркап жөнөдү."
"Just before he touched James’ shoulder, James tagged the base and yelled out.","Джеймстин далысына тийер замат ал "базаны" тагып"
"SAFE! Did you get Sally yet? James asked.","Коопсуз! деп кыйкырды,деп сурады Джеймс"
"No, said Mark.","Жок, деди Марк."
"I haven’t been able to find her and it’s getting late and we need to be heading home.","Мен аны таба элекмин кеч болуп калды, үйгө жөнөй турган убакыт келди."

(book2)
"Once upon a time, there was a giraffe named Ginger.","Бир убакта Жинжер аттуу бир керик жашаптыр."
"Ginger lived in Kenya, a country in Africa.","Бир кезде, Африкадагы Кенияда Жинжер аттуу жираф жашаптыр."
"Like all giraffes, Ginger had a long neck and long legs.","Жинжердин мойну жана буттары узун болчу."
"Because she was so tall, she was able to eat food from the very tops of the trees in the savannah.","Боюнун узундугуна байланыштуу ал саваннадагы дарактарга жогорку буттарынан тамак жей алчу."
The savannah in Africa is an area with lots of grass and some trees.,Африкадагы саванна – чөптөрү көп жана анда бир нече дарактар бар аймак.
"Sometimes, a savannah is called grasslands.","Кээде саваннаны "чөптүү талаалар" деп да атап коюшат." 
The other animals like zebras and antelopes could not reach where Ginger could reach., " Башка жаныбарлар, зебралар жана антилопалар Жинжер жете алгандан жете албайт эле."
But Ginger always found food.,Бирок Жинжер дайыма тамак таба алчу.
She loved the leaves and the new buds of the trees.,Ал дарактардан жалбырактары жана жаңы бүчүрлөрүн абдан жакшы көрчү
"One day, Ginger was busy eating her favorite leaves along with some other giraffes.",Бир күнү Жинжер башка жирафтар менен сүйүктүү жалбырактарын жеп жаткан. 
It was a bright sunny day and there was not a cloud in the sky.,"Абанын ачык, күндүү болгону сонун болчу жана асманда эч бир булут жок болчу." 
"It had not rained for a long time, so the grass was very dry.","Көптөн бери жамгыр жааган эмес, ошондуктан чөп өтө кургап калган эле." 
"She heard a noise down at the bottom of her extra long legs: it was her friend, Mickey the Monkey.","Жинжердин узун буттарынын түбүндө бир үн чыгып жатты: бул анын досу Микки маймыл болчу." 
"Mickey was trying to say something, but Ginger couldn’t understand what he was saying.","Микки бир нерсе айтканга аракет кылып жатты, бирок Жинжер аны түшүнө алган жок." 
He looked very tired.,Ал өтө чарчап калгандай көрүнүп жатты.
“What’s wrong?” asked Ginger.,Эмне болду? – деп сурады Жинжер.
Ginger was a very kind giraffe and wanted to help everyone.,"Жинжер боорукер жираф болгондуктан, бардыгына жардам бергиси келчү." 
Just then Mickey fell over!,Ошол учурда Микки кулап калды! 
Ginger was also a smart giraffe.,Жинжер акылдуу жираф болчу жана эмне болуп жатканын түшүндү.
She knew what was wrong.,Ал эмне болгонун түшүндү.
Mickey couldn’t find anything to eat and he was very hungry.,Микки тамак таппай ачка болуп жаткан экен. 
"Ginger nibbled some fresh, tender leaves and buds from the top of the tree where she was eating.","Жинжер дарактын чокусунан жаңы, ширелүү жалбырактарды жеп, аларды жерге түшүрдү." 
She dropped some of the leaves and buds to the ground near where Mickey was.,Андан кийин ал өзүнүн узун буттарынан биринин туягы менен Миккини аздап түртүп ойготту.
Then she nudged him a little with the hoof at the bottom of one of her very long legs.,Андан кийин ал узун буттарынын биринин аягындагы туягы менен аны бир аз түртүп койду. 
"“Wake up, Mickey!” said Ginger.","Ойгон, Микки! – деди Жинжер." 
“I’ve found something for you to eat.”,Мен сага тамак таптым! 
Slowly Mickey sat up and ate a little.,"Микки жай гана отуруп, бир аз тамак жеди."
"After a while, when Mickey was feeling better, Ginger asked him, “What’s happened, Mickey?","Бир аз убакыт өткөндөн кийин, Микки жакшыра баштаганда, Жинжер андан: Эмне болду, Микки?" 
Why are you so hungry?, Эмне үчүн ачка болуп жатасың?
Why can’t you find anything to eat?”,Неге тамак таба албай жатасың? – деп сурады. 
"Mickey said, “It hasn’t rained for so long and now there’s no more food.”","Микки:Көптөн бери жамгыр жааган жок, эми тамак калбай калды, – деди." 
"“That’s not good,” said Ginger.","Көптөн бери жамгыр жааган жок, эми тамак калбай калды, – деди." 
“What’s happening with the other animals?”,"Башка жаныбарларда эмне болуп жатат?" деп сурады Гинжер. 
"“No one knows what to do,” answered Mickey.","Эч ким эмне кылышты билбейт, деп жооп берди Микки." 
“All the zebras and the antelopes and the elephants are getting worried about the dry grass.,"Бардык зебралар, антилопалар жана пилдер чөптөр кургап калганына кабатыр болушууда." 
Some of them are thinking about leaving the savannah and trying to reach the jungle.”,"Алардын айрымдары саваннаны таштап, токойго барууну ойлоп жатышат."
"“That’s a long trip,” said Ginger.","Бул узак жол, деди Гинжер." 
“Are you going to go with them?”,Сен алар менен барасыңбы?
"“I don’t know,” answered Mickey.","Билбейм, деди Микки. " 
“What do you think we should do?”,Сен эмне кылышыбыз керек деп ойлойсуң? 
"Ginger thought for a while and then suddenly, she had a good idea.","Гинжер бир аз ойлонуп, анан күтүүсүздөн бир сонун ой келди.  " 
“We should go talk to Leo the Lion.,Биз барс Леого баралы. 
He is the smartest animal in the savannah!”,Ал саваннадагы эң акылдуу жаныбар! 
"Mickey was too tired to walk, so Ginger invited him to ride on her back.","Микки басууга абдан чарчаган, ошондуктан Гинжер аны аркасына минүүгө чакырды." 
"“Hold on tight to my neck,” said Ginger.","Моюнумдан бекем карма, деди Гинжер." 
"“There’s a lot to hold on to,” joked Mickey.","Кармаганга көп нерсе бар, тамашалады Микки." 
Ginger laughed. “You’re right.,"Гинжер күлүп жиберди. Ооба, туура айтасың." 
I’ve got the longest neck in Africa!”,Менде Африкадагы эң узун моюн бар! 
So they started their journey across to the other side of the savannah to look for Leo.,"Ошентип, алар саваннанын аркы жагына Леону издөөгө сапар тартышты."
Ginger and Mickey were in luck!,Гинжер менен Миккинин жолу болду! 
Leo was sitting up on a rock and he was really easy to see as they walked through the grass.,"Лео таштын үстүндө отурган, аны чөптөр арасынан көрүү абдан оңой эле."
"“Hi, Leo!” they both shouted.","Салам, Лео! деп кыйкырышты экөө." 
Leo had been napping and was a little grumpy when they woke him up.,"Лео уйкуда болчу, ошондуктан ойгонгондо бир аз кыжырданды."
"But he was polite and said, “Hello Ginger and Mickey. ","Бирок ал сылык-сыпаа түрдө: Салам, Гинжер жана Микки."
Why did you walk the whole way across the savannah?,Сиздер саваннанын аркы жагына чейин жөн гана мени ойготуу үчүн басып келдиңиздерби?"
Just to wake me up?”,деп тамаша кылды.
But he was joking; he had a smile on his face.,Лео жылмайып турду. 
"“Mickey says that there is no food left on the savannah because it’s been so dry,” said Ginger.","Микки саваннада чөп жок, анткени абдан кургак болуп калды деп айтты, деди Гинжер." 
“Do you have any ideas?”,Сизде кандайдыр бир идея барбы? 
Leo thought for a while.,Лео бир аз ойлонду
"He said, “There’s nothing we can do about the rain.","Анан айтты:Жамгырга биз эч нерсе кыла албайбыз."
